tag,Vrai Nom,Adresse,Arrondissement,Téléphone,Site web,Lien Google,Lien Menu,Horaires,Lien de réservation,Lien de votre compte instagram,Station(s) de métro à proximité,types,petit_dejeuner,brunch_general,brunch_samedi,brunch_dimanche,brunch_toute_la_semaine,dejeuner,gouter,drinks,diner,apero,dans_la_rue,dans_une_galerie,dans_un_musee,dans_un_monument,hotel_name,dans_un_hotel,other_lieu,ambiance_classique,ambiance_intimiste,ambiance_festif,ambiance_date,price_range,cuisines,restrictions,has_terrace,terrace_locs,more_info
Nak,Nakatsu,"25 Rue Ramey, 75018 Paris, France",75018,01 42 58 11 89,https://nakatsu.fr/,https://maps.google.com/?cid=7640663993974895959,https://nakatsu.fr/menu/,"Monday: Closed
Tuesday: 12:00 – 2:15 PM, 7:00 – 10:15 PM
Wednesday: 12:00 – 2:15 PM, 7:00 – 10:15 PM
Thursday: 12:00 – 2:15 PM, 7:00 – 10:15 PM
Friday: 12:00 – 2:15 PM, 7:00 – 10:15 PM
Saturday: 12:00 – 2:45 PM, 7:00 – 10:15 PM
Sunday: 12:00 – 2:45 PM, 7:00 – 10:15 PM",Sans réservation,https://www.instagram.com/nakatsu_paris/,non_renseigné,Restaurant,False,False,False,False,False,True,False,False,True,False,True,False,False,False,,False,False,True,False,False,False,€,Japonais,,True,terrasse_classique,
Nek,Nekoramen,"6 Rue de la Grange Batelière, 75009 Paris, France",75009,06 13 60 29 23,http://nekoramen.fr/,https://maps.google.com/?cid=4298891228259165414,CANVA,"Monday: 12:00 – 10:30 PM
Tuesday: 12:00 – 10:30 PM
Wednesday: 12:00 – 10:30 PM
Thursday: 12:00 – 10:30 PM
Friday: 12:00 – 10:30 PM
Saturday: 12:00 – 10:30 PM
Sunday: 12:00 – 10:30 PM",Sans réservation,https://www.instagram.com/nekoramen_paris/,non_renseigné,Restaurant,False,False,False,False,False,True,False,False,True,False,True,False,False,False,,False,False,True,False,False,False,€,Japonais,,False,,
Nel,Nelson's,"16 Rue Coquillière, 75001 Paris, France",75001,01 42 36 74 24,https://nelsons.fr/,https://maps.google.com/?cid=1666985948882656143,https://lor.paris/q/nelson-paris,"Monday: 8:00 AM – 2:00 AM
Tuesday: 8:00 AM – 2:00 AM
Wednesday: 8:00 AM – 2:00 AM
Thursday: 8:00 AM – 2:00 AM
Friday: 8:00 AM – 2:00 AM
Saturday: 8:00 AM – 2:00 AM
Sunday: 8:00 AM – 2:00 AM",https://lor.paris/r/nelson-paris,https://www.instagram.com/nelsons.paris/?hl=fr,non_renseigné,Restaurant,False,False,False,False,False,True,False,False,True,False,True,False,False,False,,False,False,True,False,False,False,€€,Français,,True,terrasse_classique,
Nes,Nessia,"6 Rue Charles-François Dupuis, 75003 Paris, France",75003,09 73 89 60 17,https://www.restaurantnessia.com/,https://maps.google.com/?cid=2429654456250488060,https://www.restaurantnessia.com/la-carte,"Monday: Closed
Tuesday: 12:00 – 2:00 PM, 7:00 – 10:00 PM
Wednesday: 12:00 – 2:00 PM, 7:00 – 10:00 PM
Thursday: 12:00 – 2:00 PM, 7:00 – 10:30 PM
Friday: 12:00 – 2:00 PM, 7:00 – 10:30 PM
Saturday: 12:00 – 2:30 PM, 7:00 – 10:30 PM
Sunday: Closed",https://www.restaurantnessia.com/réservation,https://instagram.com/restaurantnessia?igshid=ymmymta2m2y=,non_renseigné,Restaurant,False,False,False,False,False,True,False,False,True,False,True,False,False,False,,False,False,False,True,False,False,€€,Français,,False,,
Neul,Neulo,"46 Rue Sainte-Croix de la Bretonnerie, 75004 Paris, France",75004,09 87 32 46 94,https://www.neulo.fr/,https://maps.google.com/?cid=16029346052854624533,https://neulo.fr/collections/nos-produits,"Monday: 12:00 – 7:00 PM
Tuesday: 12:00 – 7:00 PM
Wednesday: 12:00 – 7:00 PM
Thursday: 12:00 – 7:00 PM
Friday: 12:00 – 8:00 PM
Saturday: 12:00 – 8:00 PM
Sunday: 12:00 – 8:00 PM",Sans réservation,https://www.instagram.com/neulo_epicerie/,non_renseigné,Concept goûter,False,False,False,False,False,False,True,False,False,False,True,False,False,False,,False,False,True,False,False,False,€€,Français,,False,,
New,New Jawad,"12 Av. Rapp, 75007 Paris, France",75007,01 47 05 91 37,https://newjawad.co/fr/etablissements/8515731797777055745,https://maps.google.com/?cid=8567264245591033654,https://newjawad.co/fr/menu,"Monday: 11:45 AM – 2:30 PM, 6:45 – 11:30 PM
Tuesday: 11:45 AM – 2:30 PM, 6:45 – 11:30 PM
Wednesday: 11:45 AM – 2:30 PM, 6:45 – 11:30 PM
Thursday: 11:45 AM – 2:30 PM, 6:45 – 11:30 PM
Friday: 11:45 AM – 2:30 PM, 6:45 – 11:30 PM
Saturday: 11:45 AM – 2:30 PM, 6:45 – 11:30 PM
Sunday: 11:45 AM – 2:30 PM, 6:45 – 11:30 PM",https://newjawad.co/fr/etablissements/8515731797777055745,https://www.instagram.com/new.jawad/,non_renseigné,Restaurant,False,False,False,False,False,True,False,False,True,False,True,False,False,False,,False,False,True,False,False,False,€€€€,Indien,,True,terrasse_classique,
Nig,Nigoun,"71 Rue d'Aguesseau, 92100 Boulogne-Billancourt, France",92100,01 86 22 07 24,http://www.nigoun.fr/,https://maps.google.com/?cid=16642636852320153294,https://nigoun.fr/carte-du-midi/,"Monday: 12:00 – 3:00 PM, 7:00 – 10:30 PM
Tuesday: 12:00 – 3:00 PM, 7:00 – 10:30 PM
Wednesday: 12:00 – 3:00 PM, 7:00 – 10:30 PM
Thursday: 12:00 – 3:00 PM, 7:00 – 10:30 PM
Friday: 12:00 – 3:00 PM
Saturday: 7:30 – 10:30 PM
Sunday: 12:00 – 3:00 PM, 7:00 – 10:30 PM",https://nigoun.fr/reserver/,https://www.instagram.com/nigounrestaurant/,non_renseigné,Restaurant,False,False,False,False,False,True,False,False,True,False,True,False,False,False,,False,False,True,False,False,False,€€,Israélien,Casher (certifié),False,,
Nis,Nissi,"4 Rue Pierre Fontaine, 75009 Paris, France",75009,01 89 33 34 30,https://nissiparis.com/,https://maps.google.com/?cid=9523890501834351550,https://www.nissiparis.com/_files/ugd/1d5ef1_1722a0b94d744a19b633de7eae4831fe.pdf,"Monday: Closed
Tuesday: 12:00 – 10:00 PM
Wednesday: 12:00 – 10:00 PM
Thursday: 12:00 – 10:00 PM
Friday: 12:00 – 11:00 PM
Saturday: 12:00 – 11:00 PM
Sunday: Closed",Sans réservation,https://www.instagram.com/nissi.paris/,non_renseigné,"Restaurant;""Fast"" (à emporter, sandwicherie...)",False,False,False,False,False,True,False,False,True,False,True,False,False,False,,False,False,True,False,False,False,€,Israélien,Viande casher,False,,Brunch le dimanche
Noi,Noir,"1 Rue Bourdaloue, 75009 Paris, France",75009,non_renseigné,https://noircoffeeshop.com,https://g.co/kgs/RLQu9Xc,CANVA,"Monday: 8:00 AM – 6:00 PM
Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 7:00 PM
Saturday: 8:00 AM – 7:00 PM
Sunday: 8:00 AM – 6:00 PM",Sans réservation,https://www.instagram.com/noir_coffeeshop/,non_renseigné,Coffee shop/salon de thé,False,False,False,False,False,False,True,False,False,False,True,False,False,False,,False,False,False,True,False,False,€€€,Français,,False,,
Nol,Nolinski,"16 Av. de l'Opéra, 75001 Paris, France",75001,01 42 86 10 10,http://nolinskiparis.com/,https://maps.google.com/?cid=17592771650835775485,https://nolinskiparis.com/restaurants/nolinski-le-restaurant-gastronomique/,"Monday: 7:00 – 10:30 PM, 12:00 – 10:30 PM
Tuesday: 7:00 – 10:30 PM, 12:00 – 10:30 PM
Wednesday: 7:00 – 10:30 PM, 12:00 – 10:30 PM
Thursday: 7:00 – 10:30 PM, 12:00 – 10:30 PM
Friday: 7:00 – 10:30 PM, 12:00 – 10:30 PM
Saturday: 7:00 – 10:30 PM, 12:00 – 10:30 PM
Sunday: 7:00 – 10:30 PM",https://www.sevenrooms.com/explore/nolinskiparislerestaurant/reservations/create/search?venues=brachlerestaurant%2Cnolinskiparislerestaurant%2Cpalaisroyalrestaurantparis,https://www.instagram.com/nolinskiparis/,non_renseigné,Restaurant haut de gamme,False,False,False,False,False,True,False,False,True,False,False,False,False,False,Nolinski,True,False,True,False,True,False,€€€€,Français,,False,,
